 spec            Ha          e1Ha          e2Ha            Hb          e1Hb          e2Hb            O3          e1O3          e2O3            N2          e1N2          e2N2 
    0  5.230028e-16  1.191257e-17  1.208958e-17  1.308931e-16  1.809260e-17  1.901631e-17  9.413838e-17  1.486856e-17  1.555363e-17  1.777324e-16  7.396561e-18  7.542994e-18 
    1  1.244330e-15  1.458503e-17  1.477034e-17  3.033677e-16  1.867223e-17  1.915418e-17  1.802091e-16  2.134922e-17  2.302398e-17  4.257983e-16  9.117136e-18  8.908086e-18 
    2  1.052808e-15  1.522894e-17  1.542880e-17  2.954170e-16  2.078239e-17  2.166259e-17  1.889592e-16  2.385828e-17  2.625755e-17  3.342676e-16  9.070485e-18  9.305636e-18 
    3  6.233309e-15  1.888735e-17  1.898206e-17  1.899578e-15  2.815819e-17  2.857240e-17  9.717579e-16  2.275823e-17  2.260093e-17  1.610235e-15  9.343552e-18  9.313885e-18 
    4  1.090340e-15  1.336228e-17  1.374229e-17  2.417903e-16  1.847534e-17  1.912369e-17  1.635937e-16  1.609617e-17  1.676311e-17  3.675031e-16  7.951017e-18  7.970077e-18 
    5  9.425893e-16  1.279334e-17  1.290101e-17  3.092229e-16  2.271682e-17  2.396460e-17  7.875710e-17  2.039819e-17  2.045368e-17  2.408645e-16  7.558097e-18  7.644537e-18 
    6  1.398724e-15  1.385775e-17  1.382678e-17  3.892720e-16  1.796710e-17  1.843880e-17  1.974028e-16  1.713902e-17  1.794862e-17  5.033147e-16  8.526299e-18  8.503689e-18 
    7  9.419373e-16  1.352377e-17  1.380461e-17  2.445553e-16  2.120368e-17  2.196792e-17  9.988786e-17  1.826224e-17  2.000798e-17  3.542748e-16  8.977044e-18  9.059583e-18 
    8  2.254692e-15  1.549376e-17  1.551260e-17  6.889067e-16  2.885260e-17  2.961171e-17  3.726362e-16  2.260491e-17  2.314629e-17  6.680774e-16  8.590166e-18  8.660435e-18 
    9  3.556266e-15  2.759531e-17  2.807323e-17  1.210652e-15  3.382354e-17  3.475446e-17  9.482221e-16  3.028635e-17  3.042247e-17  8.561327e-16  1.412798e-17  1.445514e-17 
   10  1.820872e-15  1.244902e-17  1.257032e-17  5.554577e-16  1.708529e-17  1.718326e-17  1.931712e-16  1.498736e-17  1.588504e-17  5.016457e-16  6.420842e-18  6.512104e-18 
   11  1.624911e-15  1.359127e-17  1.375927e-17  4.592869e-16  2.255264e-17  2.324725e-17  2.012986e-16  2.299077e-17  2.519592e-17  5.030282e-16  8.388346e-18  8.281543e-18 
   12  4.129482e-15  2.049712e-17  2.042092e-17  9.406536e-16  3.111748e-17  3.209896e-17  1.099358e-16  2.203056e-17  2.379532e-17  1.279213e-15  1.131306e-17  1.122662e-17 
   13  3.895077e-15  1.682297e-17  1.683716e-17  1.009743e-15  2.481605e-17  2.508208e-17  3.206078e-16  2.445435e-17  2.628498e-17  1.206380e-15  9.038827e-18  9.045272e-18 
   14  3.527577e-15  1.707226e-17  1.701365e-17  8.699456e-16  2.919783e-17  2.994581e-17  1.850070e-16  2.406342e-17  2.481587e-17  1.175191e-15  1.020992e-17  1.012721e-17 
   15  7.336126e-15  1.885286e-17  1.888653e-17  2.251040e-15  2.420253e-17  2.463858e-17  9.519085e-16  2.187152e-17  2.184178e-17  1.779057e-15  9.052223e-18  9.077709e-18 
   16  6.973425e-15  2.206722e-17  2.224012e-17  1.508174e-15  2.992225e-17  3.025122e-17  2.688111e-16  2.282166e-17  2.356793e-17  2.352839e-15  1.328812e-17  1.305373e-17 
