 spec            Ha          e1Ha          e2Ha            Hb          e1Hb          e2Hb            O3          e1O3          e2O3            N2          e1N2          e2N2           S2a         e1S2a         e2S2a           S2b         e1S2b         e2S2b 
    0  3.566116e-15  2.492189e-17  2.451858e-17  1.451582e-15  5.968528e-17  6.108717e-17  1.647344e-15  5.022031e-17  5.060924e-17  7.267258e-16  1.305107e-17  1.292045e-17  1.358084e-15  1.934328e-17  1.928074e-17  9.020693e-16  1.549281e-17  1.551210e-17 
    1  7.419734e-16  1.730508e-17  1.787627e-17  9.099932e-16  8.028189e-17  8.415113e-17  7.416804e-16  3.890045e-17  3.935747e-17  1.524282e-16  9.770486e-18  9.829171e-18  2.321031e-16  1.264868e-17  1.294206e-17  1.725660e-16  1.079560e-17  1.082186e-17 
    2  2.140832e-15  2.025363e-17  2.057362e-17  1.435106e-15  7.263035e-17  7.370397e-17  1.100179e-15  4.625160e-17  4.723329e-17  4.045688e-16  1.096404e-17  1.094757e-17  9.193464e-16  1.634426e-17  1.634600e-17  6.256614e-16  1.343462e-17  1.331811e-17 
    3  5.484902e-15  2.250851e-17  2.230916e-17  2.736274e-15  5.956091e-17  5.926109e-17  4.599857e-15  5.127319e-17  5.171928e-17  8.661902e-16  1.055989e-17  1.071541e-17  1.404568e-15  1.530800e-17  1.518851e-17  9.914949e-16  1.279412e-17  1.284061e-17 
    4  3.367572e-15  2.145861e-17  2.169591e-17  1.377962e-15  5.216064e-17  5.333769e-17  1.421739e-15  4.540983e-17  4.554556e-17  7.514436e-16  1.136999e-17  1.126675e-17  1.226083e-15  1.598401e-17  1.617728e-17  8.091975e-16  1.324366e-17  1.334137e-17 
    5  7.557406e-15  2.982319e-17  3.012550e-17  3.245239e-15  4.972279e-17  5.015471e-17  5.454135e-15  5.900486e-17  5.915305e-17  1.091696e-15  1.011300e-17  1.003137e-17  1.752134e-15  1.405295e-17  1.395320e-17  1.171882e-15  1.146504e-17  1.139277e-17 
    6  5.946830e-14  4.474033e-17  4.549810e-17  2.396878e-14  7.844167e-17  7.985567e-17  5.874222e-14  9.170710e-17  9.177402e-17  6.362114e-15  1.352540e-17  1.381420e-17  8.585946e-15  1.986409e-17  1.984102e-17  6.161345e-15  1.647654e-17  1.660963e-17 
    7  3.454763e-15  2.025540e-17  2.048026e-17  1.747248e-15  5.221178e-17  5.344977e-17  2.785940e-15  4.784960e-17  4.884626e-17  5.389827e-16  9.938499e-18  1.016601e-17  9.102622e-16  1.530388e-17  1.530187e-17  5.759680e-16  1.217268e-17  1.212936e-17 
    8  2.136255e-15  1.718927e-17  1.732705e-17  9.948146e-16  5.139112e-17  5.248137e-17  1.529639e-15  4.171086e-17  4.191705e-17  3.528875e-16  8.871914e-18  8.700862e-18  6.557753e-16  1.304466e-17  1.342895e-17  4.661213e-16  1.093417e-17  1.095061e-17 
    9  2.383575e-14  3.317772e-17  3.317294e-17  1.009611e-14  6.663274e-17  6.857506e-17  2.005707e-14  7.047622e-17  7.036253e-17  4.206730e-15  1.458352e-17  1.437683e-17  5.524450e-15  2.054940e-17  2.048401e-17  3.838172e-15  1.649952e-17  1.616533e-17 
   10  1.905289e-15  1.953710e-17  1.977542e-17  1.213314e-15  7.137025e-17  7.314670e-17  9.494505e-16  4.376651e-17  4.426385e-17  3.582849e-16  1.051311e-17  1.057015e-17  8.232428e-16  1.592904e-17  1.581910e-17  5.574219e-16  1.287816e-17  1.288317e-17 
   11  2.699723e-15  2.225746e-17  2.219709e-17  1.787115e-15  7.247863e-17  7.334447e-17  1.419356e-15  5.250103e-17  5.354195e-17  6.597062e-16  1.247773e-17  1.275954e-17  1.082443e-15  1.750311e-17  1.763590e-17  7.484959e-16  1.464249e-17  1.477671e-17 
   12  1.567725e-13  7.060618e-17  6.991176e-17  5.873790e-14  1.082150e-16  1.069563e-16  1.534650e-13  1.411743e-16  1.430043e-16  1.586911e-14  1.932689e-17  1.946437e-17  2.028753e-14  2.619264e-17  2.614576e-17  1.475542e-14  2.204300e-17  2.169514e-17 
   13  8.639734e-16  1.820726e-17  1.837926e-17  7.672193e-16  7.269868e-17  6.842845e-17  7.055747e-16  3.875419e-17  3.934512e-17  2.048787e-16  1.052945e-17  1.038866e-17  3.626300e-16  1.440637e-17  1.453095e-17  2.377741e-16  1.132616e-17  1.140989e-17 
   14  1.445691e-14  3.020375e-17  3.040107e-17  5.431222e-15  6.302354e-17  6.360975e-17  8.722613e-15  6.287702e-17  6.277646e-17  2.419797e-15  1.361345e-17  1.377069e-17  4.342486e-15  2.134974e-17  2.111124e-17  3.017354e-15  1.788837e-17  1.780392e-17 
   15  2.964037e-14  4.173600e-17  4.158666e-17  1.212870e-14  6.998761e-17  7.000488e-17  2.306294e-14  7.435384e-17  7.394081e-17  4.233057e-15  1.463134e-17  1.467534e-17  6.262262e-15  2.090803e-17  2.102704e-17  4.367685e-15  1.705894e-17  1.681172e-17 
