 spec            Ha          e1Ha          e2Ha            Hb          e1Hb          e2Hb            O3          e1O3          e2O3            N2          e1N2          e2N2           S2a         e1S2a         e2S2a           S2b         e1S2b         e2S2b 
    0  2.632852e-15  1.365271e-17  1.376333e-17  1.037569e-15  2.223503e-17  2.301064e-17  1.081458e-15  1.900525e-17  1.929439e-17  5.822739e-16  7.218968e-18  7.218774e-18  8.599397e-16  1.023966e-17  1.024729e-17  6.644595e-16  8.869592e-18  8.833839e-18 
    1  5.057650e-16  1.302723e-17  1.323281e-17  4.531807e-16  2.507840e-17  2.618510e-17  2.591430e-16  1.556050e-17  1.610927e-17  9.647538e-17  6.934300e-18  6.845737e-18  2.297444e-16  9.456787e-18  9.585170e-18  9.916895e-17  6.785045e-18  6.853711e-18 
    2  6.151158e-16  1.439727e-17  1.454433e-17  5.367430e-16  2.467238e-17  2.544427e-17  3.218659e-16  1.588312e-17  1.638485e-17  1.034488e-16  7.296554e-18  7.515261e-18  2.744216e-16  1.023492e-17  1.040287e-17  1.118798e-16  7.093574e-18  7.269731e-18 
    3  1.393304e-15  1.323208e-17  1.327006e-17  6.531369e-16  2.046565e-17  2.078071e-17  5.798407e-16  1.780658e-17  1.782749e-17  3.290742e-16  7.627313e-18  7.771384e-18  5.215861e-16  9.827780e-18  9.872678e-18  3.595515e-16  8.303622e-18  8.325989e-18 
    4  4.191610e-15  1.619021e-17  1.634222e-17  1.439379e-15  2.303554e-17  2.304118e-17  2.785486e-15  2.316945e-17  2.321439e-17  6.973135e-16  8.204283e-18  8.234277e-18  1.034767e-15  1.054148e-17  1.075935e-17  7.264378e-16  9.016009e-18  8.886081e-18 
    5  2.381418e-15  1.306682e-17  1.296043e-17  8.427366e-16  1.909245e-17  1.919183e-17  1.328704e-15  1.952270e-17  1.991829e-17  4.453809e-16  6.424730e-18  6.576431e-18  7.956294e-16  9.562756e-18  9.515422e-18  5.913700e-16  8.378236e-18  8.315247e-18 
    6  6.218913e-15  1.423841e-17  1.409741e-17  2.154708e-15  2.348344e-17  2.344003e-17  4.303177e-15  2.319982e-17  2.347029e-17  8.812249e-16  6.309927e-18  6.172004e-18  1.378195e-15  9.679459e-18  9.707755e-18  9.685661e-16  7.512619e-18  7.704897e-18 
    7  4.668951e-14  2.822056e-17  2.849975e-17  1.492979e-14  3.274571e-17  3.318434e-17  3.986217e-14  4.304566e-17  4.285064e-17  4.884165e-15  8.596633e-18  8.488404e-18  6.331824e-15  1.307103e-17  1.280324e-17  4.584933e-15  1.063719e-17  1.062371e-17 
    8  2.817621e-15  1.395361e-17  1.396562e-17  9.529633e-16  2.481280e-17  2.486770e-17  1.841876e-15  2.233157e-17  2.262438e-17  4.505717e-16  6.455444e-18  6.586919e-18  7.022161e-16  9.882149e-18  9.922111e-18  5.232932e-16  8.438828e-18  8.279999e-18 
    9  1.739702e-15  1.151673e-17  1.154741e-17  6.366704e-16  1.876913e-17  1.938680e-17  1.295852e-15  1.770747e-17  1.780337e-17  3.266659e-16  5.626462e-18  5.812726e-18  5.029525e-16  8.480581e-18  8.597648e-18  3.425206e-16  7.093297e-18  7.130335e-18 
   10  1.959073e-14  2.397701e-17  2.427573e-17  6.644644e-15  3.199447e-17  3.238265e-17  1.528838e-14  3.578693e-17  3.614912e-17  3.213216e-15  1.005057e-17  9.931323e-18  4.003135e-15  1.559825e-17  1.544330e-17  2.840097e-15  1.260690e-17  1.258011e-17 
   11  1.235798e-15  1.306341e-17  1.295757e-17  5.987409e-16  2.009756e-17  2.026193e-17  5.428690e-16  1.714072e-17  1.743481e-17  2.850493e-16  7.440228e-18  7.407317e-18  4.808288e-16  9.926364e-18  9.966891e-18  3.190425e-16  8.152432e-18  8.096515e-18 
   12  1.904893e-15  1.489624e-17  1.502713e-17  7.923318e-16  2.190997e-17  2.200396e-17  7.240054e-16  1.919404e-17  1.968346e-17  4.397433e-16  8.409810e-18  8.663372e-18  6.442613e-16  1.043456e-17  1.039035e-17  4.869936e-16  9.300446e-18  9.211965e-18 
   13  1.106537e-13  4.179773e-17  4.244036e-17  3.435670e-14  4.213689e-17  4.258336e-17  9.355435e-14  5.960533e-17  5.932242e-17  1.118971e-14  1.135007e-17  1.161260e-17  1.420198e-14  1.754286e-17  1.762403e-17  1.031032e-14  1.359364e-17  1.371148e-17 
   14  7.107441e-16  1.582267e-17  1.616129e-17  5.600674e-16  2.317803e-17  2.344727e-17  3.923783e-16  1.749077e-17  1.779498e-17  9.257631e-17  7.939625e-18  8.044797e-18  2.625979e-16  1.073849e-17  1.063975e-17  9.960428e-17  7.293647e-18  7.405222e-18 
   15  1.137409e-14  1.985551e-17  1.965937e-17  3.594408e-15  2.617987e-17  2.648084e-17  6.146643e-15  2.697126e-17  2.730539e-17  1.884546e-15  8.684468e-18  8.662391e-18  3.300176e-15  1.371132e-17  1.355583e-17  2.340063e-15  1.109923e-17  1.115243e-17 
   16  2.143996e-14  2.245792e-17  2.238086e-17  7.204051e-15  2.748089e-17  2.765303e-17  1.443683e-14  3.125567e-17  3.120158e-17  3.095565e-15  9.227020e-18  8.998504e-18  4.471211e-15  1.394569e-17  1.404668e-17  3.116814e-15  1.097860e-17  1.085944e-17 
