 spec            Ha          e1Ha          e2Ha            Hb          e1Hb          e2Hb            O3          e1O3          e2O3            N2          e1N2          e2N2           S2a         e1S2a         e2S2a           S2b         e1S2b         e2S2b 
    0  1.288753e-15  9.704460e-18  9.781719e-18  5.524769e-16  1.902416e-17  1.944287e-17  7.140036e-16  1.717380e-17  1.707664e-17  1.025838e-16  4.373633e-18  4.455881e-18  2.715376e-16  7.114326e-18  7.196854e-18  1.754354e-16  5.682013e-18  5.780312e-18 
    1  2.289826e-16  9.196164e-18  9.186471e-18  4.316237e-17  1.153878e-17  1.285064e-17  4.246769e-17  9.145448e-18  9.920684e-18  4.587199e-17  4.611504e-18  4.666382e-18  1.115333e-16  6.769007e-18  7.000154e-18  7.754411e-17  5.625448e-18  5.847059e-18 
    2  1.182291e-15  8.913197e-18  8.983487e-18  3.693567e-16  1.466095e-17  1.488421e-17  3.826203e-16  1.317856e-17  1.337895e-17  1.029877e-16  4.103645e-18  4.063177e-18  2.139867e-16  5.706327e-18  5.855565e-18  1.319484e-16  4.430007e-18  4.570044e-18 
    3  2.843549e-16  9.065308e-18  9.246083e-18  1.009799e-16  1.340225e-17  1.456660e-17  1.495164e-16  1.470354e-17  1.514225e-17  1.841666e-17  4.487889e-18  4.542556e-18  7.748544e-17  6.628441e-18  6.732617e-18  5.797309e-17  5.965037e-18  6.091796e-18 
    4  1.346498e-16  6.607052e-18  6.778895e-18  8.195194e-17  1.461798e-17  1.580286e-17  1.002493e-16  1.259856e-17  1.320267e-17  1.850590e-17  3.540909e-18  3.559506e-18  3.558054e-17  4.145426e-18  4.279057e-18  2.486778e-17  3.646472e-18  3.743898e-18 
    5  1.314559e-15  9.145999e-18  9.212759e-18  4.851138e-16  1.619422e-17  1.644945e-17  8.095162e-16  1.546874e-17  1.566183e-17  1.229259e-16  4.057556e-18  4.078864e-18  2.240106e-16  5.917972e-18  5.918280e-18  1.576199e-16  4.902162e-18  4.927413e-18 
    6  1.839357e-16  8.600234e-18  8.850012e-18  8.845235e-17  1.370363e-17  1.521386e-17  9.852881e-17  1.155036e-17  1.199609e-17  1.906825e-17  4.158965e-18  4.170159e-18  4.967494e-17  6.249017e-18  6.495485e-18  9.673296e-18  3.419260e-18  3.453910e-18 
    7  3.276660e-16  7.893688e-18  8.008399e-18  1.001856e-16  1.184267e-17  1.258814e-17  1.640385e-16  1.329077e-17  1.346248e-17  4.940786e-17  3.906630e-18  3.918021e-18  1.018972e-16  5.934315e-18  6.093700e-18  8.147892e-17  5.095997e-18  5.223993e-18 
    8  6.976216e-16  8.769266e-18  8.795865e-18  2.310638e-16  1.527773e-17  1.569192e-17  4.510656e-16  1.403553e-17  1.436425e-17  7.956638e-17  3.965396e-18  3.898501e-18  1.394704e-16  5.983547e-18  6.138603e-18  6.898024e-17  4.240802e-18  4.317835e-18 
    9  3.395212e-16  8.072280e-18  8.181822e-18  3.325433e-16  2.715008e-17  2.830844e-17  1.513141e-16  1.063079e-17  1.091114e-17  3.710927e-17  4.655730e-18  4.673602e-18  8.892619e-17  6.619002e-18  6.773736e-18  6.483344e-17  5.832686e-18  5.986305e-18 
