Galaxia,12+log(O/H) [SH0ES] (Z94),12+log(O/H) [SH0ES] (PP04),error 12+log(O/H) [SH0ES] (PP04),12+log(O/H) [S.Muñoz] (PP04),error 12+log(O/H) [S.Muñoz] (PP04),Error relativo,Δ[12+log(O/H)]
N3021,8.972,8.66,0.03,8.71,0.05,0.57,-0.05
N3021,9.197,8.82,0.03,8.77,0.02,0.23,0.05
N3021,9.045,8.71,0.03,8.76,0.03,0.34,-0.05
N3021,9.166,8.8,0.03,8.76,0.02,0.23,0.04
N3021,9.089,8.75,0.03,8.7,0.01,0.11,0.05
N3972,9.073,8.74,0.03,8.63,0.06,0.7,0.11
N3972,9.147,8.79,0.03,8.66,0.03,0.35,0.13
N3972,9.13,8.78,0.03,8.64,0.04,0.46,0.14
N3972,9.111,8.76,0.03,8.64,0.01,0.12,0.12
N3972,9.103,8.76,0.03,8.64,0.04,0.46,0.12
N3972,9.117,8.77,0.03,8.73,0.03,0.34,0.04
N3972,9.158,8.8,0.03,8.69,0.02,0.23,0.11
N3972,9.167,8.8,0.03,8.72,0.04,0.46,0.08
N3972,9.152,8.79,0.03,8.65,0.02,0.23,0.14
N3972,9.158,8.8,0.03,8.57,0.02,0.23,0.23
N3972,9.091,8.75,0.03,8.7,0.02,0.23,0.05
N3972,9.152,8.79,0.03,8.68,0.02,0.23,0.11
N3972,9.249,8.86,0.03,8.87,0.01,0.11,-0.01
N3972,9.218,8.84,0.03,8.73,0.01,0.11,0.11
N3972,9.259,8.86,0.03,8.8,0.01,0.11,0.06
N3972,9.14,8.78,0.03,8.65,0.01,0.12,0.13
N3972,9.334,8.91,0.03,8.83,0.01,0.11,0.08
N3982,9.015,8.69,0.03,8.7,0.07,0.8,-0.01
N3982,9.055,8.72,0.03,8.77,0.19,2.17,-0.05
N3982,9.074,8.74,0.03,8.74,0.1,1.14,0.0
N7250,8.605,8.32,0.03,8.5,0.01,0.12,-0.18
N7250,8.605,8.32,0.03,8.56,0.02,0.23,-0.24
N7250,8.605,8.32,0.03,8.54,0.01,0.12,-0.22
N7250,8.605,8.32,0.03,8.4,0.0,0.0,-0.08
N7250,8.605,8.32,0.03,8.48,0.01,0.12,-0.16
N7250,8.605,8.32,0.03,8.38,0.0,0.0,-0.06
N7250,8.605,8.32,0.03,8.29,0.0,0.0,0.03
N7250,8.605,8.32,0.03,8.4,0.01,0.12,-0.08
N7250,8.605,8.32,0.03,8.41,0.01,0.12,-0.09
N7250,8.605,8.32,0.03,8.38,0.0,0.0,-0.06
N7250,8.605,8.32,0.03,8.54,0.01,0.12,-0.22
N7250,8.605,8.32,0.03,8.55,0.01,0.12,-0.23
N7250,8.605,8.32,0.03,8.28,0.0,0.0,0.04
N7250,8.605,8.32,0.03,8.52,0.02,0.23,-0.2
N7250,8.605,8.32,0.03,8.41,0.0,0.0,-0.09
N7250,8.605,8.32,0.03,8.37,0.0,0.0,-0.05
N7250,8.605,8.32,0.03,8.55,0.02,0.23,-0.23
U9391,8.849,8.55,0.03,8.34,0.01,0.12,0.21
U9391,8.88,8.58,0.03,8.52,0.17,2.0,0.06
U9391,8.732,8.45,0.03,8.39,0.02,0.24,0.06
U9391,8.913,8.61,0.03,8.3,0.06,0.72,0.31
U9391,8.825,8.53,0.03,8.43,0.06,0.71,0.1
U9391,8.741,8.45,0.03,8.33,0.01,0.12,0.12
U9391,8.783,8.49,0.03,8.4,0.08,0.95,0.09
U9391,8.691,8.41,0.03,8.4,0.06,0.71,0.01
U9391,8.705,8.42,0.03,8.34,0.03,0.36,0.08
U9391,8.754,8.47,0.03,8.53,0.02,0.23,-0.06
U9391,8.885,8.58,0.03,8.37,0.01,0.12,0.21
U9391,8.734,8.45,0.03,8.43,0.05,0.59,0.02
U9391,8.875,8.57,0.03,8.42,0.04,0.48,0.15
U9391,8.905,8.6,0.03,8.23,0.02,0.24,0.37
U9391,8.838,8.54,0.03,8.37,0.1,1.19,0.17
U9391,8.81,8.52,0.03,8.38,0.06,0.72,0.14
U9391,8.988,8.67,0.03,8.45,0.01,0.12,0.22
U9391,9.005,8.68,0.03,8.49,0.02,0.24,0.19
U9391,8.94,8.63,0.03,8.45,0.02,0.24,0.18
U9391,8.712,8.43,0.03,8.45,0.06,0.71,-0.02
U9391,8.912,8.61,0.03,8.44,0.02,0.24,0.17
U9391,8.863,8.56,0.03,8.47,0.03,0.35,0.09
U9391,8.946,8.63,0.03,8.32,0.01,0.12,0.31
