Galaxia | 12+log(O/H) [SH0ES] (Z94) | 12+log(O/H) [SH0ES] (PP04) | error 12+log(O/H) [SH0ES] (PP04) | 12+log(O/H) [S.Muñoz] (PP04) | error 12+log(O/H) [S.Muñoz] (PP04)
======= | ========================= | ========================== | ================================ | ============================ | ==================================
  N3021 |                     8.972 |                       8.66 |                             0.03 |                         8.71 |                               0.05
  N3021 |                     9.197 |                       8.82 |                             0.03 |                        8.766 |                              0.015
  N3021 |                     9.045 |                       8.71 |                             0.03 |                         8.76 |                               0.03
  N3021 |                     9.166 |                        8.8 |                             0.03 |                        8.759 |                              0.018
  N3021 |                     9.089 |                       8.75 |                             0.03 |                        8.701 |                              0.013
  N3972 |                     9.073 |                       8.74 |                             0.03 |                         8.63 |                               0.06
  N3972 |                     9.147 |                       8.79 |                             0.03 |                         8.66 |                               0.03
  N3972 |                      9.13 |                       8.78 |                             0.03 |                         8.64 |                               0.04
  N3972 |                     9.111 |                       8.76 |                             0.03 |                        8.637 |                              0.007
  N3972 |                     9.103 |                       8.76 |                             0.03 |                         8.64 |                               0.04
  N3972 |                     9.117 |                       8.77 |                             0.03 |                         8.73 |                               0.03
  N3972 |                     9.158 |                        8.8 |                             0.03 |                         8.69 |                               0.02
  N3972 |                     9.167 |                        8.8 |                             0.03 |                         8.72 |                               0.04
  N3972 |                     9.152 |                       8.79 |                             0.03 |                        8.648 |                              0.016
  N3972 |                     9.158 |                        8.8 |                             0.03 |                        8.566 |                              0.016
  N3972 |                     9.091 |                       8.75 |                             0.03 |                          8.7 |                              0.016
  N3972 |                     9.153 |                       8.79 |                             0.03 |                         8.68 |                               0.02
  N3972 |                     9.249 |                       8.86 |                             0.03 |                        8.872 |                              0.015
  N3972 |                     9.218 |                       8.84 |                             0.03 |                        8.731 |                              0.011
  N3972 |                     9.259 |                       8.86 |                             0.03 |                        8.798 |                              0.013
  N3972 |                      9.14 |                       8.78 |                             0.03 |                        8.655 |                              0.006
  N3972 |                     9.334 |                       8.91 |                             0.03 |                        8.826 |                               0.01
  N3982 |                     9.015 |                       8.69 |                             0.03 |                          8.7 |                               0.07
  N3982 |                     9.055 |                       8.72 |                             0.03 |                         8.77 |                               0.19
  N3982 |                     9.074 |                       8.74 |                             0.03 |                         8.74 |                                0.1
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.503 |                              0.008
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.558 |                              0.016
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.541 |                              0.009
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.395 |                              0.005
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.475 |                              0.008
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.376 |                              0.004
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.288 |                              0.001
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.396 |                              0.007
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.409 |                              0.009
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.378 |                              0.002
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.536 |                               0.01
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.553 |                              0.008
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.276 |                              0.001
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.519 |                              0.016
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.411 |                              0.003
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.368 |                              0.002
  N7250 |                     8.605 |                       8.32 |                             0.03 |                        8.546 |                              0.015
  U9391 |                     8.849 |                       8.55 |                             0.03 |                        8.343 |                              0.013
  U9391 |                      8.88 |                       8.58 |                             0.03 |                         8.52 |                               0.17
  U9391 |                     8.733 |                       8.45 |                             0.03 |                        8.388 |                              0.017
  U9391 |                     8.913 |                       8.61 |                             0.03 |                          8.3 |                               0.06
  U9391 |                     8.825 |                       8.53 |                             0.03 |                         8.43 |                               0.06
  U9391 |                     8.741 |                       8.45 |                             0.03 |                         8.33 |                              0.013
  U9391 |                     8.784 |                       8.49 |                             0.03 |                          8.4 |                               0.08
  U9391 |                     8.691 |                       8.41 |                             0.03 |                          8.4 |                               0.06
  U9391 |                     8.705 |                       8.42 |                             0.03 |                         8.34 |                               0.03
  U9391 |                     8.754 |                       8.47 |                             0.03 |                         8.53 |                               0.02
  U9391 |                     8.885 |                       8.58 |                             0.03 |                         8.37 |                              0.011
  U9391 |                     8.734 |                       8.45 |                             0.03 |                         8.43 |                               0.05
  U9391 |                     8.875 |                       8.57 |                             0.03 |                         8.42 |                               0.04
  U9391 |                     8.905 |                        8.6 |                             0.03 |                        8.234 |                              0.016
  U9391 |                     8.838 |                       8.54 |                             0.03 |                         8.37 |                                0.1
  U9391 |                      8.81 |                       8.52 |                             0.03 |                         8.38 |                               0.06
  U9391 |                     8.988 |                       8.67 |                             0.03 |                        8.446 |                              0.008
  U9391 |                     9.005 |                       8.68 |                             0.03 |                        8.493 |                              0.016
  U9391 |                      8.94 |                       8.63 |                             0.03 |                         8.45 |                               0.02
  U9391 |                     8.712 |                       8.43 |                             0.03 |                         8.45 |                               0.06
  U9391 |                     8.912 |                       8.61 |                             0.03 |                        8.442 |                              0.015
  U9391 |                     8.863 |                       8.56 |                             0.03 |                         8.47 |                               0.03
  U9391 |                     8.946 |                       8.63 |                             0.03 |                        8.321 |                              0.007
